SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
3MINDIA, EQ, 30-Nov-2022,23399.95,23390.0,23559.85,23167.0,23400.0,23353.5,23338.24,1930,1023, 1090, 56.48
AARTIDRUGS, EQ, 30-Nov-2022,452.6,453.3,454.7,448.45,452.0,452.9,451.47,49273,2832, 30215, 61.32
AARTIIND, EQ, 30-Nov-2022,669.65,674.0,678.0,670.5,674.8,674.6,674.67,391559,12628, 158643, 40.52
AAVAS, EQ, 30-Nov-2022,1936.5,1946.2,1952.75,1905.1,1915.55,1913.75,1937.05,91664,7782, 67735, 73.89
ABB, EQ, 30-Nov-2022,3015.2,3021.9,3074.0,2979.0,3005.0,3000.7,3003.56,6409415,99522, 4476152, 69.84
ABCAPITAL, EQ, 30-Nov-2022,144.1,144.45,146.65,143.55,145.35,145.35,145.16,7241278,44357, 2647506, 36.56
ABFRL, EQ, 30-Nov-2022,310.35,309.95,315.0,309.95,313.5,314.3,313.49,1418102,17099, 619548, 43.69
ACC, EQ, 30-Nov-2022,2514.05,2516.95,2570.0,2507.55,2560.1,2563.25,2545.32,565921,27338, 258081, 45.60
ACCELYA, EQ, 30-Nov-2022,1682.7,1682.7,1683.0,1602.0,1624.0,1616.25,1635.02,106733,12163, 45144, 42.30
ACE, EQ, 30-Nov-2022,339.1,340.8,341.4,330.55,338.05,339.2,335.78,470761,11374, 154748, 32.87
ADANIENT, EQ, 30-Nov-2022,3878.4,3897.8,3939.9,3867.0,3924.7,3917.9,3904.01,1968428,62047, 781327, 39.69
ADANIPORTS, EQ, 30-Nov-2022,878.2,878.9,884.15,873.3,883.0,881.0,879.79,3797377,49802, 1455927, 38.34
ADFFOODS, EQ, 30-Nov-2022,825.45,842.0,850.0,818.45,821.25,828.1,838.73,96002,6266, 33266, 34.65
ADVENZYMES, EQ, 30-Nov-2022,284.0,285.4,286.4,280.7,283.75,284.0,282.99,40737,2293, 24823, 60.93
AEGISCHEM, EQ, 30-Nov-2022,316.9,317.0,328.7,311.0,328.0,325.1,318.51,764654,17585, 297986, 38.97
AHLUCONT, EQ, 30-Nov-2022,434.4,430.1,444.9,428.1,435.0,432.35,432.94,11172,823, 6645, 59.48
AIAENG, EQ, 30-Nov-2022,2699.8,2702.0,2726.95,2690.0,2700.0,2700.1,2700.63,63192,8290, 50843, 80.46
AJANTPHARM, EQ, 30-Nov-2022,1234.3,1235.0,1247.3,1221.05,1230.0,1228.5,1231.12,50392,7802, 27964, 55.49
AKZOINDIA, EQ, 30-Nov-2022,2304.35,2315.05,2370.0,2270.1,2276.35,2284.75,2321.51,65586,7914, 38152, 58.17
ALEMBICLTD, EQ, 30-Nov-2022,70.9,71.3,75.95,71.3,73.95,74.35,75.01,674779,6708, 230487, 34.16
ALKEM, EQ, 30-Nov-2022,3121.65,3121.65,3147.85,3113.15,3134.0,3124.2,3125.14,86314,5646, 66615, 77.18
ALKYLAMINE, EQ, 30-Nov-2022,2824.65,2830.0,2845.0,2810.05,2827.7,2821.55,2828.66,16251,4171, 7971, 49.05
ALLCARGO, EQ, 30-Nov-2022,432.45,434.5,450.8,429.0,443.4,444.6,441.39,1062181,24379, 358794, 33.78
AMARAJABAT, EQ, 30-Nov-2022,646.25,648.9,654.0,644.7,649.0,650.15,649.32,794079,17069, 359526, 45.28
AMBER, EQ, 30-Nov-2022,1934.25,1935.05,1950.5,1920.0,1926.25,1924.25,1929.79,119008,10743, 77011, 64.71
AMBUJACEM, EQ, 30-Nov-2022,564.95,565.9,573.95,560.55,572.0,570.75,567.92,6139270,44034, 3539024, 57.65
AMRUTANJAN, EQ, 30-Nov-2022,705.6,707.0,713.0,705.65,711.65,708.7,709.38,13351,1521, 8537, 63.94
ANURAS, EQ, 30-Nov-2022,727.05,729.0,730.55,717.05,721.0,719.05,722.07,97117,10074, 55648, 57.30
APARINDS, EQ, 30-Nov-2022,1467.6,1467.0,1499.0,1451.5,1490.0,1467.8,1470.41,309425,19330, 222875, 72.03
APLAPOLLO, EQ, 30-Nov-2022,1074.45,1076.95,1130.0,1075.0,1106.65,1120.45,1102.28,692241,22477, 463135, 66.90
APLLTD, EQ, 30-Nov-2022,597.6,596.0,600.7,593.0,593.75,594.6,595.7,44988,3214, 21900, 48.68
APOLLOHOSP, EQ, 30-Nov-2022,4719.2,4719.2,4760.1,4642.6,4729.95,4726.4,4695.45,1113421,75271, 559346, 50.24
APOLLOPIPE, EQ, 30-Nov-2022,494.7,499.9,502.0,487.0,488.0,489.15,492.68,30493,2569, 16861, 55.29
APOLLOTYRE, EQ, 30-Nov-2022,315.15,316.85,318.0,310.7,317.4,316.45,314.48,3736077,36864, 899488, 24.08
ARVIND, EQ, 30-Nov-2022,92.85,93.55,97.4,93.45,95.7,95.75,95.99,2840584,16532, 956798, 33.68
ARVINDFASN, EQ, 30-Nov-2022,329.45,323.3,341.3,323.3,336.9,334.95,335.31,1316134,17318, 920454, 69.94
ASAHIINDIA, EQ, 30-Nov-2022,613.2,613.2,619.9,604.8,617.85,616.55,613.14,154785,7125, 86468, 55.86
ASHIANA, EQ, 30-Nov-2022,144.1,144.0,145.7,143.15,144.35,144.1,144.47,23224,867, 11305, 48.68
ASHOKA, EQ, 30-Nov-2022,76.9,77.5,79.9,77.25,79.35,79.35,79.08,3004129,14265, 1143540, 38.07
ASHOKLEY, EQ, 30-Nov-2022,148.55,149.25,151.0,147.25,149.0,148.8,148.77,23390373,89096, 10932340, 46.74
ASIANPAINT, EQ, 30-Nov-2022,3135.05,3139.9,3199.95,3133.3,3183.35,3175.15,3169.4,2547283,93819, 1636650, 64.25
ASTEC, EQ, 30-Nov-2022,2074.8,2100.0,2100.0,2018.1,2030.0,2045.7,2051.76,106436,9292, 87901, 82.59
ASTERDM, EQ, 30-Nov-2022,233.35,233.5,237.75,233.3,236.35,236.6,235.85,260545,5202, 117373, 45.05
ASTRAL, EQ, 30-Nov-2022,1882.05,1891.5,1892.0,1873.5,1884.1,1884.65,1883.61,288203,27111, 164051, 56.92
ASTRAZEN, EQ, 30-Nov-2022,3334.0,3349.0,3407.95,3348.95,3372.8,3373.8,3373.41,13813,2985, 8822, 63.87
ATFL, EQ, 30-Nov-2022,823.45,817.9,823.8,815.0,815.0,815.3,817.52,16977,406, 16221, 95.55
ATUL, EQ, 30-Nov-2022,8343.35,8335.0,8424.0,8300.0,8424.0,8364.75,8351.03,20553,3058, 8809, 42.86
AUBANK, EQ, 30-Nov-2022,627.35,628.0,644.85,627.65,638.6,639.3,638.44,2604030,45671, 1632850, 62.70
AUROPHARMA, EQ, 30-Nov-2022,466.6,468.0,470.95,464.0,469.25,467.35,466.8,1247749,27385, 612333, 49.08
AUTOAXLES, EQ, 30-Nov-2022,1986.45,1996.4,2025.0,1986.0,2025.0,2011.45,2003.99,3424,1025, 1509, 44.07
AVANTIFEED, EQ, 30-Nov-2022,385.05,387.0,387.85,383.05,385.8,385.05,384.93,342600,9216, 275444, 80.40
AXISBANK, EQ, 30-Nov-2022,892.55,895.0,905.1,885.45,899.5,901.25,896.6,10452798,161887, 7171487, 68.61
BAJAJ-AUTO, EQ, 30-Nov-2022,3660.1,3674.95,3772.9,3671.0,3732.35,3750.7,3740.65,1267676,59800, 625441, 49.34
BAJAJCON, EQ, 30-Nov-2022,164.45,165.25,168.2,164.55,165.0,165.25,166.32,630011,9112, 327900, 52.05
BAJAJELEC, EQ, 30-Nov-2022,1138.85,1143.0,1150.0,1103.4,1111.05,1112.45,1125.76,62923,6839, 27503, 43.71
BAJAJFINSV, EQ, 30-Nov-2022,1632.0,1634.2,1644.65,1623.3,1632.0,1626.5,1628.58,2900845,73488, 2162525, 74.55
BAJAJHLDNG, EQ, 30-Nov-2022,6024.1,6065.0,6624.0,6006.0,6593.0,6294.95,6272.09,4050056,157648, 2586620, 63.87
BAJFINANCE, EQ, 30-Nov-2022,6734.15,6735.0,6754.2,6678.0,6747.0,6720.95,6717.52,1482831,91512, 926775, 62.50
BALAMINES, EQ, 30-Nov-2022,3039.9,3040.0,3069.9,3026.1,3038.6,3044.8,3051.74,33034,5383, 13957, 42.25
BALKRISIND, EQ, 30-Nov-2022,2035.0,2030.0,2052.95,2016.55,2049.0,2042.05,2038.11,302927,16867, 158300, 52.26
BALMLAWRIE, EQ, 30-Nov-2022,121.3,121.3,128.95,121.3,125.5,125.7,126.24,1573521,16964, 572453, 36.38
